set_id,set_size,x_center,y_center,x_rel,y_rel,x_min,x_max,y_min,y_max,sap,sape,sapend,smp
S024,19,1849.0,4834.711,0.195952,0.724301,1849.0,1849.0,4507.5,5165.0,14,2,2,1
S025,19,1868.947,3925.947,0.198066,0.588157,1868.5,1869.0,3595.0,4243.0,14,2,2,1
S026,6,1869.0,3462.167,0.198071,0.518677,1869.0,1869.0,3378.5,3554.0,1,2,2,1
S027,11,1888.5,4231.136,0.200138,0.633878,1888.5,1888.5,4069.5,4395.0,6,2,2,1
S028,6,1888.5,5261.667,0.200138,0.788265,1888.5,1888.5,5184.5,5345.5,1,2,2,1
S029,19,1908.026,4383.474,0.202207,0.6567,1908.0,1908.5,4056.0,4714.0,14,2,2,1
S030,19,1908.026,5059.5,0.202207,0.757978,1908.0,1908.5,4732.0,5390.0,14,2,2,1
S031,19,1927.947,3668.066,0.204318,0.549523,1927.5,1928.0,3341.0,3998.0,14,2,2,1
S032,19,1928.0,4370.868,0.204324,0.654812,1928.0,1928.0,4043.5,4700.0,14,2,2,1
S033,19,1928.0,5046.868,0.204324,0.756085,1928.0,1928.0,4719.5,5377.0,14,2,2,1
S034,19,1948.026,3655.553,0.206446,0.547648,1948.0,1948.5,3328.5,3986.0,14,2,2,1
S035,6,1948.0,5459.417,0.206443,0.81789,1948.0,1948.0,5382.0,5543.0,1,2,2,1
S036,6,1967.917,5446.833,0.208554,0.816005,1967.5,1968.0,5369.5,5530.5,1,2,2,1
S037,11,2007.045,5505.136,0.212701,0.82474,2007.0,2007.5,5343.5,5669.0,6,2,2,1
S038,11,2027.0,5492.727,0.214816,0.82288,2027.0,2027.0,5331.5,5657.0,6,2,2,1
S039,15,2047.0,5567.4,0.216935,0.834067,2047.0,2047.0,5318.5,5810.0,10,2,2,1
S040,15,2066.967,5554.833,0.219051,0.832185,2066.5,2067.0,5306.0,5797.5,10,2,2,1
S041,19,2086.474,5620.658,0.221118,0.842046,2086.0,2086.5,5293.5,5951.0,14,2,2,1
S042,19,2106.026,5608.026,0.223191,0.840154,2106.0,2106.5,5281.0,5938.0,14,2,2,1
S043,6,2126.0,6020.0,0.225307,0.901873,2126.0,2126.0,5942.5,6104.0,1,2,2,1
S044,6,2146.0,5339.167,0.227427,0.799875,2146.0,2146.0,5255.5,5431.0,1,2,2,1
S045,19,2146.0,5794.342,0.227427,0.868066,2146.0,2146.0,5472.0,6093.0,14,2,2,1
S046,11,2165.955,5417.5,0.229542,0.81161,2165.5,2166.0,5240.0,5601.0,6,2,2,1
S047,19,2165.974,5949.553,0.229544,0.891319,2165.5,2166.0,5642.0,6242.0,14,2,2,1
S048,15,2186.567,5879.95,0.231726,0.880891,2186.5,2187.0,5631.25,6122.5,10,2,2,1
S049,19,2205.0,5957.237,0.23368,0.89247,2205.0,2205.0,5630.0,6287.0,14,2,2,1
S050,19,2225.0,5958.553,0.235799,0.892667,2225.0,2225.0,5631.5,6289.0,14,2,2,1
S051,15,2344.0,5380.967,0.24841,0.806137,2344.0,2344.0,5132.0,5623.5,10,2,2,1
S052,15,2363.967,5380.5,0.250526,0.806067,2363.5,2365.0,5131.5,5623.0,10,2,2,1
S053,19,2551.447,3448.395,0.270395,0.516613,2541.5,2562.0,3277.0,3607.5,14,2,2,1
